Country,GDP,CEX,pop_density,urbanization,gini,IDV,IND,LTO,MAS,PDI,UAI
Guinea Bissau,1600.00,1072.00,43.00,43.9,50.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Equatorial Guinea,38700.00,4154.00,58.00,39.5,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,26800.00,15782.00,82.00,77.3,36.7,35,50,45,57,60,100
Greenland,37900.00,#N/A,0.00,84.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Guatemala,7900.00,5668.00,145.00,49.8,48.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Guyana,7900.00,4736.00,4.00,28.4,44.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Honduras,5300.00,3600.00,78.00,52.2,50.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,22400.00,10231.00,74.00,57.8,32,33,33,58,40,73,80
Haiti,1800.00,#N/A,409.00,53.4,60.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hungary,27200.00,11257.00,106.00,69.5,30.6,80,31,58,88,46,82
Indonesia,11700.00,4883.00,137.00,50.7,35.6,14,38,62,46,78,48
India,6700.00,3149.00,399.53,31.3,35.1,48,26,51,56,77,40
Ireland,69400.00,17212.00,68.00,62.2,32.5,70,65,24,68,28,35
Iran,18100.00,2710.50,48.53,69.1,37.4,41,40,14,43,58,59
Iraq,16500.00,2581.48,85.00,66.5,29.5,30,17,25,70,95,85
Iceland,48100.00,20493.00,3.00,94.1,26.9,60,67,28,10,30,50
Israel,34800.00,17437.00,392.47,92.1,42.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Italy,36300.00,19055.00,201.00,68.4,35.2,76,30,61,70,50,75
Jamaica,9000.00,6041.00,248.00,52,45.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jordan,11100.00,7413.00,110.24,82.7,35.4,30,43,16,45,70,65
Japan,38900.00,20129.00,336.00,91.3,32.1,46,42,88,95,54,92
Kazakhstan,25700.00,10305.00,6.00,53.6,26.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kenya,3400.00,2228.00,81.00,24,47.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
